# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell	processor
49              	5.00921556e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
50              	4.91420839e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
51              	4.82227168e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
52              	4.73325104e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
53              	4.64700243e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
54              	4.56339182e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
55              	4.48229426e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
56              	4.40359322e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
57              	4.32717979e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
58              	4.25295217e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
59              	4.18081506e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
60              	4.11067898e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
61              	4.04246007e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
62              	3.97607952e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
63              	3.91146298e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
64              	3.84854025e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
65              	3.78724521e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
66              	3.72751542e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
67              	3.66929204e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
68              	3.61251951e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
69              	3.55714532e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
70              	3.50311990e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
71              	3.45039619e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
72              	3.39892974e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
73              	3.34867819e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
74              	3.29960130e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
75              	3.25166090e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
76              	3.20482062e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
77              	3.15904563e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
78              	3.11430277e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
79              	3.07056036e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
80              	3.02778831e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
81              	2.98595793e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
82              	2.94504185e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
83              	2.90501393e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
84              	2.86584920e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
85              	2.82752380e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
86              	2.79001476e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
87              	2.75330009e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
88              	2.71735881e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
89              	2.68217077e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
90              	2.64771662e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
91              	2.61397764e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
92              	2.58093593e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
93              	2.54857418e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
94              	2.51687580e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
95              	2.48582484e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
96              	2.45540606e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
97              	2.42560478e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
98              	2.39640692e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
99              	2.36779902e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
100             	2.33976806e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
101             	2.31230161e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
102             	2.28538746e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
103             	2.25901379e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
104             	2.23316923e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
105             	2.20784291e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
106             	2.18302449e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
107             	2.15870402e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
108             	2.13487180e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
109             	2.11151858e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
110             	2.08863564e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
111             	2.06621443e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
112             	2.04424688e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
113             	2.02272550e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
114             	2.00164288e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
115             	1.98099244e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
116             	1.96076801e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
117             	1.94096390e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
118             	1.92157508e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
119             	1.90259717e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
120             	1.88402666e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
121             	1.86586063e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
122             	1.84809717e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
123             	1.83073581e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
124             	1.81377711e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
125             	1.79722325e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
126             	1.78107848e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
127             	1.76534815e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
128             	1.75004068e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
129             	1.73516629e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
130             	1.72073894e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
131             	1.70677567e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
132             	1.69329530e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
133             	1.68032150e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
134             	1.66788076e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
135             	1.65600388e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
136             	1.64472587e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
137             	1.63408354e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
138             	1.62411895e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
139             	1.61487754e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
140             	1.60640844e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
141             	1.59876385e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
142             	1.59199718e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
143             	1.58616588e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
144             	1.58132862e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
145             	1.57754475e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
146             	1.57487412e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
147             	1.57337537e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
148             	1.57310544e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
149             	1.57411810e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
150             	1.57646240e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
151             	1.58018285e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
152             	1.58531762e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
153             	1.59189705e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
154             	1.59994405e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
155             	1.60947236e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
156             	1.62048584e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
157             	1.63297819e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
158             	1.64693252e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
159             	1.66232122e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
160             	1.67910614e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
161             	1.69723976e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
162             	1.71666632e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
163             	1.73732398e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
164             	1.75914676e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
165             	1.78206650e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
166             	1.80601347e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
167             	1.83091757e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
168             	1.85670988e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
169             	1.88332480e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
170             	1.91069997e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
171             	1.93877641e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
172             	1.96749907e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
173             	1.99681756e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
174             	2.02668552e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
175             	2.05705877e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
176             	2.08789396e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
177             	2.11914920e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
178             	2.15078538e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
179             	2.18276633e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
180             	2.21505711e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
181             	2.24762128e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
182             	2.28042132e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
183             	2.31342100e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
184             	2.32904644e-02	(4.01081827e-01 1.01701236e-05 5.00000000e-02)	128	2
185             	2.33029901e-02	(4.01081827e-01 1.01701236e-05 5.00000000e-02)	128	2
186             	2.33161839e-02	(4.01081827e-01 1.01701236e-05 5.00000000e-02)	128	2
187             	2.33283736e-02	(3.96882763e-01 1.01701236e-05 5.00000000e-02)	127	2
188             	2.33407883e-02	(3.96882763e-01 1.01701236e-05 5.00000000e-02)	127	2
189             	2.33530315e-02	(3.92727039e-01 1.01701236e-05 5.00000000e-02)	126	2
190             	2.33646158e-02	(3.92727039e-01 1.01701236e-05 5.00000000e-02)	126	2
191             	2.33766775e-02	(3.92727039e-01 1.01701236e-05 5.00000000e-02)	126	2
192             	2.33878536e-02	(3.88614207e-01 1.01701236e-05 5.00000000e-02)	125	2
193             	2.33989968e-02	(3.88614207e-01 1.01701236e-05 5.00000000e-02)	125	2
194             	2.34105242e-02	(3.88614207e-01 1.01701236e-05 5.00000000e-02)	125	2
195             	2.34209398e-02	(3.84543825e-01 1.01701236e-05 5.00000000e-02)	124	2
196             	2.34314682e-02	(3.84543825e-01 1.01701236e-05 5.00000000e-02)	124	2
197             	2.34423160e-02	(3.84543825e-01 1.01701236e-05 5.00000000e-02)	124	2
198             	2.34523532e-02	(3.80515455e-01 1.01701236e-05 5.00000000e-02)	123	2
199             	2.34621267e-02	(3.80515455e-01 1.01701236e-05 5.00000000e-02)	123	2
200             	2.34721755e-02	(3.80515455e-01 1.01701236e-05 5.00000000e-02)	123	2
201             	2.34822410e-02	(3.76528664e-01 1.01701236e-05 5.00000000e-02)	122	2
202             	2.34911951e-02	(3.76528664e-01 1.01701236e-05 5.00000000e-02)	122	2
203             	2.35003557e-02	(3.76528664e-01 1.01701236e-05 5.00000000e-02)	122	2
204             	2.35096944e-02	(3.76528664e-01 1.01701236e-05 5.00000000e-02)	122	2
205             	2.35187565e-02	(3.72583021e-01 1.01701236e-05 5.00000000e-02)	121	2
206             	2.35269779e-02	(3.72583021e-01 1.01701236e-05 5.00000000e-02)	121	2
207             	2.35353204e-02	(3.72583021e-01 1.01701236e-05 5.00000000e-02)	121	2
208             	2.35437627e-02	(3.72583021e-01 1.01701236e-05 5.00000000e-02)	121	2
209             	2.35520851e-02	(3.68678102e-01 1.01701236e-05 5.00000000e-02)	120	2
210             	2.35593888e-02	(3.68678102e-01 1.01701236e-05 5.00000000e-02)	120	2
211             	2.35667570e-02	(3.68678102e-01 1.01701236e-05 5.00000000e-02)	120	2
212             	2.35741708e-02	(3.68678102e-01 1.01701236e-05 5.00000000e-02)	120	2
213             	2.35816112e-02	(3.68678102e-01 1.01701236e-05 5.00000000e-02)	120	2
214             	2.35882978e-02	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	119	2
215             	2.35946362e-02	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	119	2
216             	2.36009758e-02	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	119	2
217             	2.36073149e-02	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	119	2
218             	2.36136349e-02	(3.64813488e-01 1.01701236e-05 5.00000000e-02)	119	2
219             	2.36192201e-02	(3.60988761e-01 1.01701236e-05 5.00000000e-02)	118	2
220             	2.36245293e-02	(3.60988761e-01 1.01701236e-05 5.00000000e-02)	118	2
221             	2.36298258e-02	(3.60988761e-01 1.01701236e-05 5.00000000e-02)	118	2
222             	2.36350990e-02	(3.60988761e-01 1.01701236e-05 5.00000000e-02)	118	2
223             	2.36403429e-02	(3.60988761e-01 1.01701236e-05 5.00000000e-02)	118	2
224             	2.36453823e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
225             	2.36497633e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
226             	2.36541181e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
227             	2.36584340e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
228             	2.36627010e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
229             	2.36669111e-02	(3.57203511e-01 1.01701236e-05 5.00000000e-02)	117	2
230             	2.36709711e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
231             	2.36744249e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
232             	2.36778382e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
233             	2.36812001e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
234             	2.36844979e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
235             	2.36877234e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
236             	2.36908714e-02	(3.53457330e-01 1.01701236e-05 5.00000000e-02)	116	2
237             	2.36937249e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
238             	2.36962131e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
239             	2.36986519e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
240             	2.37010363e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
241             	2.37033555e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
242             	2.37056015e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
243             	2.37077676e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
244             	2.37098501e-02	(3.49749814e-01 1.01701236e-05 5.00000000e-02)	115	2
245             	2.37116753e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
246             	2.37131788e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
247             	2.37146356e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
248             	2.37160460e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
249             	2.37174119e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
250             	2.37187318e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
251             	2.37200057e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
252             	2.37212344e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
253             	2.37224200e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
254             	2.37235642e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
255             	2.37246625e-02	(3.46080565e-01 1.01701236e-05 5.00000000e-02)	114	2
256             	2.37256060e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
257             	2.37263181e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
258             	2.37270037e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
259             	2.37276625e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
260             	2.37282957e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
261             	2.37289046e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
262             	2.37294893e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
263             	2.37300475e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
264             	2.37305780e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
265             	2.37310804e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
266             	2.37315552e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
267             	2.37320013e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
268             	2.37324176e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
269             	2.37328040e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
270             	2.37331600e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
271             	2.37334852e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
272             	2.37337797e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
273             	2.37340439e-02	(3.42449187e-01 1.01701236e-05 5.00000000e-02)	113	2
274             	2.37342210e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
275             	2.37342652e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
276             	2.37342863e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
277             	2.37342842e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
278             	2.37342578e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
279             	2.37342070e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
280             	2.37341315e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
281             	2.37340309e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
282             	2.37339051e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
283             	2.37337538e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
284             	2.37335768e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
285             	2.37333740e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
286             	2.37331453e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
287             	2.37328908e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
288             	2.37326094e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
289             	2.37323003e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
290             	2.37319629e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
291             	2.37315962e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
292             	2.37312000e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
293             	2.37307741e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
294             	2.37303196e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
295             	2.37298380e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
296             	2.37293314e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
297             	2.37288017e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
298             	2.37282507e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
299             	2.37276799e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
300             	2.37270903e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
301             	2.37264833e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
302             	2.37258600e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
303             	2.37252222e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
304             	2.37245714e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
305             	2.37239093e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
306             	2.37232377e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
307             	2.37225578e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
308             	2.37218708e-02	(3.38855290e-01 1.01701236e-05 5.00000000e-02)	112	2
